시군구명,주관 부서,,민원접수건수
수원시,감사관,,34
수원시,경제정책국,기업지원과,147
수원시,경제정책국,노동정책과,81
수원시,경제정책국,세정과,3
수원시,경제정책국,일자리정책과,4
수원시,경제정책국,재산관리과,2
수원시,경제정책국,지역경제과,281
수원시,경제정책국,징수과,4
수원시,공원녹지사업소,공원관리과,1
수원시,공원녹지사업소,녹지경관과,5
수원시,공원녹지사업소,생태공원과,31
수원시,권선구,가정복지과,12355
수원시,권선구,건설과,3401
수원시,권선구,건축과,3560
수원시,권선구,경제교통과,8365
수원시,권선구,곡선동,2179
수원시,권선구,구운동,1523
수원시,권선구,권선1동,2156
수원시,권선구,권선2동,2324
수원시,권선구,금곡동,1963
수원시,권선구,녹지공원과,38
수원시,권선구,사회복지과,7567
수원시,권선구,생활안전과,368
수원시,권선구,서둔동,2272
수원시,권선구,세류1동,894
수원시,권선구,세류2동,2359
수원시,권선구,세류3동,1374
수원시,권선구,세무과,2005
수원시,권선구,입북동,751
수원시,권선구,종합민원과,3121
수원시,권선구,평동,2253
수원시,권선구,행정지원과,575
수원시,권선구,호매실동,2114
수원시,권선구,환경위생과,3450
수원시,권선구보건소,,4
수원시,권선구보건소,보건행정과,2309
수원시,기획조정실,시민봉사과,55890
수원시,기획조정실,자치행정과,5
수원시,기획조정실,정보통신과,148
수원시,기획조정실,행정지원과,7
수원시,농업기술센터,농수산물도매시장관리과,109
수원시,농업기술센터,생명산업과,995
수원시,도로교통관리사업소,도로관리과,59
수원시,도로교통관리사업소,자동차관리과,459
수원시,도로교통관리사업소,자동차등록과,508
수원시,도서관사업소,도서관정책과,45
수원시,도시개발국,도시개발과,53
수원시,도시개발국,도시정비과,179
수원시,도시디자인단,,153
수원시,도시안전통합센터,,14
수원시,도시정책실,건축과,1467
수원시,도시정책실,공동주택과,45710
수원시,도시정책실,도시계획과,44
수원시,도시정책실,도시관리과,160
수원시,도시정책실,도시재생과,3
수원시,도시정책실,토지정보과,3659
수원시,문화체육교육국,관광과,116
수원시,문화체육교육국,교육청소년과,14
수원시,문화체육교육국,문화예술과,124
수원시,문화체육교육국,체육진흥과,2
수원시,복지여성국,노인복지과,69
수원시,복지여성국,다문화정책과,14
수원시,복지여성국,보육아동과,10146
수원시,복지여성국,복지정책과,120
수원시,복지여성국,복지협력과,8
수원시,복지여성국,사회복지과,5679
수원시,복지여성국,여성정책과,45
수원시,복지여성국,장애인복지과,60
수원시,상수도사업소,맑은물공급과,1171
수원시,상수도사업소,맑은물생산과,3
수원시,상수도사업소,맑은물정책과,742
수원시,수원역가로정비추진단,,2
수원시,시민소통기획관,,2
수원시,안전교통국,건설정책과,534
수원시,안전교통국,대중교통과,5708
수원시,안전교통국,도시교통과,35
수원시,안전교통국,시민안전과,91
수원시,영통구,가정복지과,13642
수원시,영통구,건설과,2252
수원시,영통구,건축과,1532
수원시,영통구,경제교통과,8921
수원시,영통구,광교1동,4708
수원시,영통구,광교2동,1621
수원시,영통구,녹지공원과,42
수원시,영통구,망포1동,1567
수원시,영통구,망포2동,1352
수원시,영통구,매탄1동,1502
수원시,영통구,매탄2동,871
수원시,영통구,매탄3동,2467
수원시,영통구,매탄4동,1311
수원시,영통구,사회복지과,3875
수원시,영통구,생활안전과,43
수원시,영통구,세무과,1509
수원시,영통구,영통1동,1913
수원시,영통구,영통2동,2773
수원시,영통구,영통3동,2443
수원시,영통구,원천동,3302
수원시,영통구,종합민원과,3375
수원시,영통구,행정지원과,355
수원시,영통구,환경위생과,3553
수원시,영통구보건소,,8
수원시,영통구보건소,보건행정과,2959
수원시,일자리정책관,,1
수원시,장안구,가정복지과,5867
수원시,장안구,건설과,1461
수원시,장안구,건축과,1981
수원시,장안구,경제교통과,5164
수원시,장안구,녹지공원과,5
수원시,장안구,사회복지과,5747
수원시,장안구,생활안전과,188
수원시,장안구,세무과,1044
수원시,장안구,송죽동,910
수원시,장안구,연무동,1301
수원시,장안구,영화동,1407
수원시,장안구,율천동,4119
수원시,장안구,정자1동,1129
수원시,장안구,정자2동,1413
수원시,장안구,정자3동,1748
수원시,장안구,조원1동,1437
수원시,장안구,조원2동,675
수원시,장안구,종합민원과,1741
수원시,장안구,파장동,1196
수원시,장안구,행정지원과,384
수원시,장안구,환경위생과,2389
수원시,장안구보건소,보건행정과,1420
수원시,팔달구,가정복지과,3375
수원시,팔달구,건설과,1337
수원시,팔달구,건설과,1
수원시,팔달구,건축과,2014
수원시,팔달구,경제교통과,4836
수원시,팔달구,고등동,1458
수원시,팔달구,녹지공원과,11
수원시,팔달구,매교동,705
수원시,팔달구,매산동,1713
수원시,팔달구,사회복지과,5325
수원시,팔달구,생활안전과,175
수원시,팔달구,세무과,582
수원시,팔달구,우만1동,1435
수원시,팔달구,우만2동,1379
수원시,팔달구,인계동,3922
수원시,팔달구,종합민원과,2320
수원시,팔달구,지동,958
수원시,팔달구,행궁동,830
수원시,팔달구,행정지원과,364
수원시,팔달구,화서1동,976
수원시,팔달구,화서2동,1207
수원시,팔달구,환경위생과,2743
수원시,팔달구보건소,,4
수원시,팔달구보건소,보건행정과,1632
수원시,홍보기획관,,24
수원시,화성사업소,문화유산관리과,13
수원시,화성사업소,문화유산시설과,16
수원시,환경국,기후대기과,282
수원시,환경국,수질환경과,974
수원시,환경국,위생정책과,5083
수원시,환경국,청소자원과,4185
수원시,환경국,하수관리과,54
수원시,환경국,환경정책과,417
수원시,감사관,,21
수원시,경제정책국,기업지원과,186
수원시,경제정책국,노동정책과,61
수원시,경제정책국,세정과,1
수원시,경제정책국,지역경제과,277
수원시,경제정책국,징수과,3
수원시,경제정책국,회계과,6
수원시,공원녹지사업소,녹지경관과,41
수원시,공원녹지사업소,생태공원과,45
수원시,군공항이전협력국,상생발전과,1
수원시,군공항이전협력국,이전지원과,1
수원시,권선구,가정복지과,2
수원시,권선구,가정복지과,15689
수원시,권선구,건설과,4468
수원시,권선구,건축과,3794
수원시,권선구,경제교통과,6957
수원시,권선구,곡선동,2147
수원시,권선구,구운동,1347
수원시,권선구,권선1동,2329
수원시,권선구,권선2동,2155
수원시,권선구,금곡동,2131
수원시,권선구,녹지공원과,18
수원시,권선구,사회복지과,6605
수원시,권선구,생활안전과,353
수원시,권선구,서둔동,2259
수원시,권선구,세류1동,1060
수원시,권선구,세류2동,2556
수원시,권선구,세류3동,1623
수원시,권선구,세무과,1805
수원시,권선구,입북동,654
수원시,권선구,종합민원과,3274
수원시,권선구,평동,1823
수원시,권선구,행정지원과,711
수원시,권선구,호매실동,2082
수원시,권선구,환경위생과,3224
수원시,권선구보건소,,3
수원시,권선구보건소,보건행정과,2609
수원시,기획조정실,시민봉사과,52158
수원시,기획조정실,인적자원과,1
수원시,기획조정실,자치행정과,16
수원시,기획조정실,정보통신과,33
수원시,기획조정실,행정지원과,3
수원시,농업기술센터,농수산물도매시장관리과,68
수원시,농업기술센터,생명산업과,1013
수원시,도로교통관리사업소,도로관리과,36
수원시,도로교통관리사업소,자동차관리과,143
수원시,도로교통관리사업소,자동차등록과,443
수원시,도서관사업소,도서관정책과,79
수원시,도서관사업소,북수원도서관,1
수원시,도시개발국,도시개발과,5
수원시,도시개발국,도시디자인과,21
수원시,도시개발국,도시정비과,132
수원시,도시디자인단,,190
수원시,도시안전통합센터,,17
수원시,도시정책실,건축과,1358
수원시,도시정책실,공동주택과,19388
수원시,도시정책실,공동주택관리과,848
수원시,도시정책실,도시계획과,42
수원시,도시정책실,도시관리과,165
수원시,도시정책실,도시재생과,2
수원시,도시정책실,주택과,1
수원시,도시정책실,토지정보과,3690
수원시,문화체육교육국,관광과,171
수원시,문화체육교육국,교육청소년과,2
수원시,문화체육교육국,문화예술과,153
수원시,문화체육교육국,체육진흥과,8
수원시,복지여성국,,20
수원시,복지여성국,노인복지과,299
수원시,복지여성국,다문화정책과,28
수원시,복지여성국,보육아동과,19206
수원시,복지여성국,복지허브화추진단,1
수원시,복지여성국,복지협력과,4
수원시,복지여성국,사회복지과,5276
수원시,복지여성국,여성정책과,86
수원시,복지여성국,장애인복지과,60
수원시,상수도사업소,맑은물공급과,1340
수원시,상수도사업소,맑은물생산과,1
수원시,상수도사업소,맑은물정책과,1615
수원시,시민소통기획관,,2
수원시,안전교통국,건설정책과,665
수원시,안전교통국,대중교통과,5379
수원시,안전교통국,도시교통과,33
수원시,안전교통국,생태교통과,1
수원시,안전교통국,시민안전과,118
수원시,영통구,가정복지과,16050
수원시,영통구,건설과,3063
수원시,영통구,건축과,1451
수원시,영통구,경제교통과,6230
수원시,영통구,광교1동,4530
수원시,영통구,광교2동,1713
수원시,영통구,녹지공원과,30
수원시,영통구,망포1동,1069
수원시,영통구,망포2동,1881
수원시,영통구,매탄1동,1429
수원시,영통구,매탄2동,886
수원시,영통구,매탄3동,2792
수원시,영통구,매탄4동,1339
수원시,영통구,사회복지과,3313
수원시,영통구,생활안전과,38
수원시,영통구,세무과,893
수원시,영통구,영통1동,1890
수원시,영통구,영통2동,3400
수원시,영통구,영통3동,2499
수원시,영통구,원천동,4855
수원시,영통구,종합민원과,3804
수원시,영통구,태장동,1960
수원시,영통구,행정지원과,398
수원시,영통구,환경위생과,3127
수원시,영통구보건소,,5
수원시,영통구보건소,보건행정과,3227
수원시,장안구,가정복지과,7193
수원시,장안구,건설과,2260
수원시,장안구,건축과,1871
수원시,장안구,경제교통과,3982
수원시,장안구,녹지공원과,11
수원시,장안구,사회복지과,5165
수원시,장안구,생활안전과,222
수원시,장안구,세무과,641
수원시,장안구,송죽동,920
수원시,장안구,연무동,1519
수원시,장안구,영화동,1580
수원시,장안구,율천동,3746
수원시,장안구,정자1동,1147
수원시,장안구,정자2동,1225
수원시,장안구,정자3동,1624
수원시,장안구,조원1동,1363
수원시,장안구,조원2동,677
수원시,장안구,종합민원과,1960
수원시,장안구,파장동,1220
수원시,장안구,행정지원과,446
수원시,장안구,환경위생과,2183
수원시,장안구보건소,보건행정과,1830
수원시,팔달구,가정복지과,4304
수원시,팔달구,건설과,2288
수원시,팔달구,건축과,2140
수원시,팔달구,경제교통과,3409
수원시,팔달구,고등동,1681
수원시,팔달구,녹지공원과,3
수원시,팔달구,매교동,655
수원시,팔달구,매산동,1876
수원시,팔달구,사회복지과,4528
수원시,팔달구,생활안전과,180
수원시,팔달구,세무과,725
수원시,팔달구,우만1동,1450
수원시,팔달구,우만2동,1148
수원시,팔달구,인계동,4149
수원시,팔달구,종합민원과,2697
수원시,팔달구,지동,947
수원시,팔달구,행궁동,782
수원시,팔달구,행정지원과,478
수원시,팔달구,화서1동,829
수원시,팔달구,화서2동,1180
수원시,팔달구,환경위생과,3019
수원시,팔달구보건소,,5
수원시,팔달구보건소,보건행정과,1585
수원시,홍보기획관,,28
수원시,화성사업소,문화유산관리과,30
수원시,화성사업소,문화유산시설과,9
수원시,환경국,기후대기과,614
수원시,환경국,수질환경과,787
수원시,환경국,위생정책과,4838
수원시,환경국,자원순환과,145
수원시,환경국,청소자원과,3634
수원시,환경국,하수관리과,131
수원시,환경국,환경정책과,223
수원시,감사관,,38
수원시,경제정책국,기업지원과,71
수원시,경제정책국,지역경제과,121
수원시,경제정책국,징수과,1
수원시,경제정책국,회계과,5
수원시,공원녹지사업소,공원관리과,5
수원시,공원녹지사업소,녹지경관과,46
수원시,공원녹지사업소,생태공원과,156
수원시,군공항이전협력국,상생발전과,1
수원시,권선구,가정복지과,15720
수원시,권선구,건설과,2643
수원시,권선구,건축과,4106
수원시,권선구,경제교통과,6976
수원시,권선구,곡선동,2003
수원시,권선구,구운동,1215
수원시,권선구,권선1동,2018
수원시,권선구,권선2동,1675
수원시,권선구,금곡동,1790
수원시,권선구,녹지공원과,11
수원시,권선구,사회복지과,25815
수원시,권선구,생활안전과,397
수원시,권선구,서둔동,1940
수원시,권선구,세류1동,1011
수원시,권선구,세류2동,2416
수원시,권선구,세류3동,1514
수원시,권선구,세무과,1639
수원시,권선구,입북동,581
수원시,권선구,종합민원과,3966
수원시,권선구,평동,2339
수원시,권선구,행정지원과,712
수원시,권선구,호매실동,3274
수원시,권선구,환경위생과,2997
수원시,권선구보건소,,2
수원시,권선구보건소,보건행정과,1846
수원시,기획조정실,시민봉사과,47827
수원시,기획조정실,인적자원과,1
수원시,기획조정실,자치행정과,4
수원시,기획조정실,정보통신과,154
수원시,농수산물도매시장관리사무소,,89
수원시,농업기술센터,농수산물도매시장관리과,39
수원시,농업기술센터,생명산업과,654
수원시,도로교통관리사업소,도로관리과,29
수원시,도로교통관리사업소,도로정비과,556
수원시,도로교통관리사업소,자동차관리과,154
수원시,도로교통관리사업소,자동차등록과,483
수원시,도서관사업소,광교홍재도서관,1
수원시,도서관사업소,도서관정책과,43
수원시,도서관사업소,북수원도서관,5
수원시,도시개발국,도시개발과,14
수원시,도시개발국,도시디자인과,46
수원시,도시개발국,도시정비과,176
수원시,도시디자인단,,177
수원시,도시안전통합센터,,9
수원시,도시정책실,건축과,1176
수원시,도시정책실,공동주택과,9
수원시,도시정책실,공동주택관리과,18790
수원시,도시정책실,도시계획과,152
수원시,도시정책실,도시관리과,80
수원시,도시정책실,지속가능과,46
수원시,도시정책실,토지정보과,4337
수원시,문화체육교육국,관광과,156
수원시,문화체육교육국,교육청소년과,2
수원시,문화체육교육국,문화예술과,143
수원시,문화체육교육국,체육진흥과,10
수원시,복지여성국,노인복지과,268
수원시,복지여성국,보육아동과,1532
수원시,복지여성국,복지허브화추진단,3
수원시,복지여성국,사회복지과,4202
수원시,복지여성국,여성정책과,69
수원시,복지여성국,장애인복지과,67
수원시,상수도사업소,맑은물공급과,1569
수원시,상수도사업소,맑은물정책과,2592
수원시,안전교통국,건설정책과,472
수원시,안전교통국,대중교통과,5572
수원시,안전교통국,도시교통과,28
수원시,안전교통국,생태교통과,2
수원시,안전교통국,시민안전과,80
수원시,영통구,가정복지과,15062
수원시,영통구,건설과,2367
수원시,영통구,건축과,1655
수원시,영통구,경제교통과,5228
수원시,영통구,광교1동,4305
수원시,영통구,광교2동,1695
수원시,영통구,녹지공원과,17
수원시,영통구,매탄1동,1177
수원시,영통구,매탄2동,842
수원시,영통구,매탄3동,2474
수원시,영통구,매탄4동,1107
수원시,영통구,사회복지과,21782
수원시,영통구,생활안전과,73
수원시,영통구,세무과,2815
수원시,영통구,영통1동,1663
수원시,영통구,영통2동,2984
수원시,영통구,영통3동,2121
수원시,영통구,원천동,3086
수원시,영통구,종합민원과,4729
수원시,영통구,태장동,2119
수원시,영통구,행정지원과,394
수원시,영통구,환경위생과,2900
수원시,영통구보건소,,2
수원시,영통구보건소,보건행정과,1807
수원시,일자리경제국,기업지원과,149
수원시,일자리경제국,생명산업과,575
수원시,일자리경제국,일자리정책과,2
수원시,일자리경제국,지역경제과,110
수원시,일자리경제국,회계과,1
수원시,장안구,가정복지과,7940
수원시,장안구,건설과,1393
수원시,장안구,건설과,1
수원시,장안구,건축과,2364
수원시,장안구,경제교통과,4619
수원시,장안구,녹지공원과,15
수원시,장안구,사회복지과,16084
수원시,장안구,생활안전과,239
수원시,장안구,세무과,564
수원시,장안구,송죽동,949
수원시,장안구,연무동,1167
수원시,장안구,영화동,1617
수원시,장안구,율천동,3373
수원시,장안구,정자1동,1070
수원시,장안구,정자2동,1112
수원시,장안구,정자3동,1620
수원시,장안구,조원1동,1301
수원시,장안구,조원2동,517
수원시,장안구,종합민원과,2313
수원시,장안구,파장동,1095
수원시,장안구,행정지원과,474
수원시,장안구,환경위생과,2034
수원시,장안구보건소,보건행정과,1364
수원시,팔달구,가정복지과,4472
수원시,팔달구,건설과,1264
수원시,팔달구,건축과,2347
수원시,팔달구,경제교통과,3016
수원시,팔달구,고등동,1620
수원시,팔달구,녹지공원과,7
수원시,팔달구,매교동,776
수원시,팔달구,매산동,1909
수원시,팔달구,사회복지과,11159
수원시,팔달구,생활안전과,225
수원시,팔달구,세무과,812
